Price,Close,High,Low,Open,Volume
Ticker,KC=F,KC=F,KC=F,KC=F,KC=F
Date,,,,,
2020-01-02,127.0999984741211,130.9499969482422,126.5,129.5500030517578,21506
2020-01-03,126.3499984741211,128.4499969482422,125.44999694824219,127.19999694824219,16566
2020-01-06,122.1500015258789,126.55000305175781,121.55000305175781,126.25,24428
2020-01-07,122.4000015258789,123.4000015258789,119.8499984741211,122.5999984741211,21308
2020-01-08,119.1500015258789,123.05000305175781,118.25,122.5,23061
2020-01-09,117.3499984741211,120.3499984741211,117.0,118.69999694824219,24637
2020-01-10,118.94999694824219,119.1500015258789,116.5,117.75,21165
2020-01-13,114.55000305175781,118.55000305175781,114.1500015258789,118.55000305175781,22280
2020-01-14,114.9000015258789,115.55000305175781,113.69999694824219,115.0,18618
2020-01-15,114.30000305175781,116.3499984741211,114.05000305175781,115.30000305175781,24677
2020-01-16,112.94999694824219,115.0999984741211,112.3499984741211,114.30000305175781,16708
2020-01-17,112.1500015258789,113.4000015258789,111.3499984741211,113.05000305175781,18214
2020-01-21,111.05000305175781,113.25,109.75,111.5,32011
2020-01-22,111.0,112.19999694824219,110.0999984741211,111.5,18581
2020-01-23,112.5999984741211,113.69999694824219,110.6500015258789,111.1500015258789,22898
2020-01-24,110.1500015258789,112.6500015258789,109.8499984741211,112.5999984741211,23990
2020-01-27,106.5999984741211,110.0,106.1500015258789,110.0,25500
2020-01-28,105.05000305175781,106.80000305175781,104.9000015258789,106.4000015258789,23885
2020-01-29,102.05000305175781,106.19999694824219,101.9000015258789,106.0,32681
2020-01-30,101.5,103.5,100.9000015258789,102.0,24626
2020-01-31,102.6500015258789,103.25,100.1500015258789,101.44999694824219,23166
2020-02-03,97.9000015258789,102.30000305175781,97.80000305175781,102.0,31237
2020-02-04,98.1500015258789,101.75,97.5999984741211,98.94999694824219,29518
2020-02-05,97.75,99.25,97.55000305175781,98.5,29230
2020-02-06,98.1500015258789,99.3499984741211,97.4000015258789,98.44999694824219,34189
2020-02-07,98.3499984741211,99.9000015258789,97.69999694824219,98.3499984741211,23661
2020-02-10,100.30000305175781,100.69999694824219,98.05000305175781,98.55000305175781,45770
2020-02-11,100.5,101.19999694824219,99.5,100.6500015258789,36364
2020-02-12,100.6500015258789,102.30000305175781,100.0,101.0,36213
2020-02-13,104.44999694824219,104.6500015258789,99.94999694824219,100.5,28558
2020-02-14,109.0999984741211,109.4000015258789,103.6500015258789,104.1500015258789,10502
2020-02-18,106.55000305175781,111.5,104.4000015258789,109.69999694824219,14616
2020-02-19,106.80000305175781,107.75,105.5,106.30000305175781,17063
2020-02-20,103.5999984741211,107.05000305175781,104.0,107.05000305175781,721
2020-02-21,108.8499984741211,109.69999694824219,104.5999984741211,104.5999984741211,26
2020-02-24,105.9000015258789,107.05000305175781,102.9000015258789,105.44999694824219,878
2020-02-25,107.0999984741211,107.69999694824219,103.9000015258789,106.44999694824219,104
2020-02-26,109.0999984741211,109.3499984741211,105.3499984741211,105.3499984741211,17
2020-02-27,108.19999694824219,110.80000305175781,107.80000305175781,109.9000015258789,412
2020-02-28,110.0999984741211,109.94999694824219,107.75,107.75,110
