data,valor
,ZC=F
2021-01-04,483.75
2021-01-05,491.75
2021-01-06,495.0
2021-01-07,494.0
2021-01-08,496.25
2021-01-11,492.25
2021-01-12,517.25
2021-01-13,524.5
2021-01-14,534.25
2021-01-15,531.5
2021-01-19,526.0
2021-01-20,522.0
2021-01-21,524.25
2021-01-22,500.5
2021-01-25,511.5
2021-01-26,532.25
2021-01-27,534.0
2021-01-28,534.5
2021-01-29,547.0
2021-02-01,549.25
2021-02-02,543.0
2021-02-03,552.0
2021-02-04,550.0
2021-02-05,548.5
2021-02-08,563.75
2021-02-09,556.25
2021-02-10,534.5
2021-02-11,541.0
2021-02-12,538.75
2021-02-16,552.25
2021-02-17,553.0
2021-02-18,550.25
2021-02-19,542.75
2021-02-22,551.0
2021-02-23,553.75
2021-02-24,559.25
2021-02-25,554.75
2021-02-26,555.5
2021-03-01,547.5
2021-03-02,560.75
2021-03-03,550.25
2021-03-04,546.25
2021-03-05,562.0
2021-03-08,565.0
2021-03-09,562.0
2021-03-10,547.75
2021-03-11,555.0
2021-03-12,549.25
2021-03-15,549.5
2021-03-16,554.25
2021-03-17,558.0
2021-03-18,546.5
2021-03-19,557.75
2021-03-22,549.0
2021-03-23,551.25
2021-03-24,553.25
2021-03-25,546.5
2021-03-26,552.5
2021-03-29,546.75
2021-03-30,539.25
2021-03-31,564.25
2021-04-01,559.75
2021-04-05,553.25
2021-04-06,554.25
2021-04-07,560.5
2021-04-08,579.75
2021-04-09,577.25
2021-04-12,569.0
2021-04-13,580.0
2021-04-14,594.0
2021-04-15,590.0
2021-04-16,585.5
2021-04-19,592.0
2021-04-20,606.5
2021-04-21,625.5
2021-04-22,650.5
2021-04-23,655.5
2021-04-26,680.5
2021-04-27,695.5
2021-04-28,686.25
2021-04-29,702.0
2021-04-30,740.0
2021-05-03,732.25
2021-05-04,744.75
2021-05-05,753.25
2021-05-06,759.5
2021-05-07,772.75
2021-05-10,748.0
2021-05-11,759.5
2021-05-12,757.5
2021-05-13,719.0
2021-05-14,685.0
2021-05-17,652.5
2021-05-18,658.25
2021-05-19,658.25
2021-05-20,664.5
2021-05-21,659.5
2021-05-24,657.25
2021-05-25,620.25
2021-05-26,624.5
2021-05-27,664.5
2021-05-28,656.75
2021-06-01,688.75
2021-06-02,675.0
2021-06-03,662.0
2021-06-04,682.75
2021-06-07,679.25
2021-06-08,680.0
2021-06-09,690.75
2021-06-10,699.0
2021-06-11,684.5
2021-06-14,659.25
2021-06-15,667.5
2021-06-16,673.0
2021-06-17,633.0
2021-06-18,655.25
2021-06-21,659.25
2021-06-22,659.75
2021-06-23,664.25
2021-06-24,653.25
2021-06-25,636.5
2021-06-28,675.5
2021-06-29,694.5
2021-06-30,720.0
2021-07-01,719.75
2021-07-02,697.25
2021-07-06,656.0
2021-07-07,652.5
2021-07-08,638.0
2021-07-09,629.75
2021-07-12,669.25
2021-07-13,677.0
2021-07-14,683.0
2021-07-15,564.25
2021-07-16,556.0
2021-07-19,556.0
2021-07-20,571.75
2021-07-21,571.75
2021-07-22,564.5
2021-07-23,547.25
2021-07-26,549.75
2021-07-27,548.75
2021-07-28,549.25
2021-07-29,558.0
2021-07-30,547.0
2021-08-02,558.75
2021-08-03,550.5
2021-08-04,545.75
2021-08-05,555.75
2021-08-06,555.0
2021-08-09,550.25
2021-08-10,549.25
2021-08-11,556.25
2021-08-12,567.0
2021-08-13,568.25
2021-08-16,564.75
2021-08-17,558.25
2021-08-18,561.75
2021-08-19,550.0
2021-08-20,538.75
2021-08-23,538.0
2021-08-24,544.5
2021-08-25,551.25
2021-08-26,552.75
2021-08-27,558.0
2021-08-30,540.25
2021-08-31,534.0
2021-09-01,515.5
2021-09-02,516.25
2021-09-03,508.0
2021-09-07,495.75
2021-09-08,498.25
2021-09-09,496.0
2021-09-10,502.75
2021-09-13,496.75
2021-09-14,503.0
2021-09-15,533.5
2021-09-16,529.5
2021-09-17,527.25
2021-09-20,521.75
2021-09-21,517.0
2021-09-22,525.5
